,wage,yhat,cooks_d
1070,50.0,9.442631109158217,0.027618589811047475
715,64.08,13.665880260033674,0.027114305577185194
989,48.07,26.387122829681434,0.018356440038385477
735,50.0,12.832847614951579,0.016900274752025556
706,48.08,15.074690415927119,0.016379990292597593
768,5.44,26.220516300665015,0.01635870224104042
807,35.0,10.446897836292228,0.016075094221860816
512,48.08,21.072525460518186,0.01578457659812415
507,36.05,17.416224718418892,0.01300931287359172
799,45.0,17.07290832518918,0.01279305515244415
818,48.08,14.998732492165022,0.011687777982187267
808,49.46,18.573427525271907,0.010714968225845804
1259,27.88,8.906423218630358,0.010498698793800137
168,42.73,22.388566133287387,0.010334411168822059
762,42.55,24.721057539517247,0.009441386770410362
152,43.25,19.647964184197555,0.008917935277874597
345,6.92,-4.556142951910214,0.008810853658011715
915,11.0,1.3135947450129661,0.008659504599928184
370,38.45,11.516806942182377,0.008482306005760687
107,5.5,-5.555782126008725,0.008349614607679226
